DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
16/04/20,00:00:00,156.9200000,158.0000000,154.2800000,157.0500000,330000
17/04/20,00:00:00,159.9900000,163.2400000,157.7100000,162.6200000,395191
20/04/20,00:00:00,161.0300000,164.3000000,160.7400000,162.8600000,304935
21/04/20,00:00:00,159.8300000,160.0500000,148.0000000,150.5200000,1127063
22/04/20,00:00:00,154.0000000,155.7000000,150.6800000,154.0500000,404865
23/04/20,00:00:00,153.9300000,156.4500000,151.5100000,151.8600000,441306
24/04/20,00:00:00,153.6300000,154.4200000,151.3200000,154.0700000,384984
27/04/20,00:00:00,155.3600000,158.4200000,154.3300000,157.6100000,428642
28/04/20,00:00:00,159.5500000,160.7500000,154.1800000,154.4100000,429482
29/04/20,00:00:00,157.8100000,161.7400000,156.5900000,160.3400000,438250
30/04/20,00:00:00,164.0000000,165.2600000,161.1300000,161.8200000,280214
01/05/20,00:00:00,158.3100000,160.1100000,155.2700000,156.4800000,318527
04/05/20,00:00:00,155.5900000,162.0200000,155.1400000,161.4900000,377950
05/05/20,00:00:00,162.8000000,164.1000000,160.3200000,163.2400000,362070
06/05/20,00:00:00,164.5000000,165.7000000,163.0000000,163.6600000,339312
07/05/20,00:00:00,166.5100000,171.2400000,166.0200000,169.9200000,472246
08/05/20,00:00:00,172.9700000,176.0500000,171.1900000,175.9500000,357523
11/05/20,00:00:00,175.5400000,183.2800000,174.2000000,182.7000000,581452
12/05/20,00:00:00,183.0100000,183.0100000,177.0600000,177.6600000,433458
13/05/20,00:00:00,175.0800000,175.1800000,166.3100000,169.7200000,1020162
14/05/20,00:00:00,168.5600000,168.5600000,164.5800000,166.9600000,617983
15/05/20,00:00:00,167.2600000,171.7100000,166.2000000,171.3000000,575088
18/05/20,00:00:00,173.9800000,176.9900000,172.1900000,172.4800000,534697
19/05/20,00:00:00,172.7500000,178.1700000,172.7500000,176.0700000,386919
20/05/20,00:00:00,178.5700000,179.0900000,174.9200000,176.9400000,367878
21/05/20,00:00:00,176.9800000,178.2700000,174.9500000,175.2200000,337776
22/05/20,00:00:00,176.9700000,178.6400000,175.5000000,177.7800000,383910
26/05/20,00:00:00,181.7700000,181.9300000,176.2200000,176.5300000,543069
27/05/20,00:00:00,175.4500000,176.6000000,171.4400000,176.4800000,568908
28/05/20,00:00:00,180.0000000,184.8000000,177.2000000,181.3000000,798366
29/05/20,00:00:00,174.0600000,174.9900000,170.7000000,174.5900000,1195434
01/06/20,00:00:00,173.1000000,177.5000000,172.6900000,176.3700000,281549
02/06/20,00:00:00,174.8000000,174.8200000,171.2200000,174.2100000,366304
03/06/20,00:00:00,174.6200000,175.3300000,172.8500000,175.0100000,253156
04/06/20,00:00:00,175.0000000,175.3600000,170.0000000,171.3400000,269301
05/06/20,00:00:00,170.3100000,174.1800000,167.0400000,173.9800000,470703
08/06/20,00:00:00,173.6100000,176.5000000,172.6600000,176.5000000,201165
09/06/20,00:00:00,176.0000000,176.0000000,173.5300000,174.5800000,198985
10/06/20,00:00:00,176.1600000,182.5000000,176.0900000,182.2300000,557285
11/06/20,00:00:00,176.6400000,178.3300000,172.0100000,172.0800000,280035
12/06/20,00:00:00,175.8950000,177.6400000,171.9900000,175.1400000,272095
15/06/20,00:00:00,172.0700000,178.8800000,171.5200000,178.6900000,340667
16/06/20,00:00:00,180.2800000,182.4800000,178.0400000,180.4500000,248687
17/06/20,00:00:00,180.7700000,182.7300000,180.7700000,181.4800000,255446
18/06/20,00:00:00,181.9800000,188.9900000,181.8000000,187.5600000,432700
19/06/20,00:00:00,189.6700000,191.2200000,185.4900000,186.8900000,404989
22/06/20,00:00:00,187.4000000,192.4700000,187.0200000,191.6200000,237667
23/06/20,00:00:00,192.0000000,194.0700000,188.6000000,189.0350000,196515
24/06/20,00:00:00,188.0000000,189.2800000,184.2100000,185.5000000,244180
25/06/20,00:00:00,186.0000000,188.7600000,184.4400000,188.3200000,167310
26/06/20,00:00:00,187.9800000,188.0200000,183.0200000,183.3300000,242360
29/06/20,00:00:00,183.3000000,183.6600000,180.0300000,183.2800000,192726
30/06/20,00:00:00,183.4500000,187.8800000,183.2200000,187.3600000,171114
01/07/20,00:00:00,188.0000000,192.7900000,187.5600000,191.9700000,185842
02/07/20,00:00:00,193.3200000,195.3700000,192.3300000,192.4400000,181096
06/07/20,00:00:00,194.3100000,199.3800000,193.8400000,197.7000000,200000
07/07/20,00:00:00,197.3000000,200.1000000,196.2750000,196.3700000,155729
08/07/20,00:00:00,197.7000000,201.1900000,197.4700000,200.3400000,213716
09/07/20,00:00:00,202.2000000,202.8200000,195.7100000,200.8400000,262356
10/07/20,00:00:00,200.0000000,200.6000000,197.1100000,198.9300000,159372
13/07/20,00:00:00,199.9500000,200.0200000,188.0300000,188.2600000,262449
14/07/20,00:00:00,185.0400000,189.9300000,183.3500000,189.5350000,230583
15/07/20,00:00:00,191.2000000,192.0200000,186.7700000,188.1000000,291136
16/07/20,00:00:00,186.2500000,186.7500000,181.9300000,185.5400000,287850
17/07/20,00:00:00,187.0700000,188.4000000,183.3800000,187.8000000,159601
20/07/20,00:00:00,188.0000000,195.3000000,187.4300000,195.1500000,200588
21/07/20,00:00:00,195.9500000,196.2500000,189.5500000,190.8200000,218112
22/07/20,00:00:00,191.0400000,191.7700000,188.8700000,191.3500000,104446
23/07/20,00:00:00,191.4700000,194.4900000,187.5400000,188.5500000,118492
24/07/20,00:00:00,186.0100000,188.8000000,184.5000000,188.5400000,120356
27/07/20,00:00:00,189.9000000,191.5300000,188.8800000,190.9100000,97714
28/07/20,00:00:00,191.0400000,192.9500000,189.1400000,189.5900000,175373
29/07/20,00:00:00,190.1200000,194.5200000,189.7800000,193.5300000,181021
30/07/20,00:00:00,190.0400000,191.9200000,187.4300000,191.6000000,134228
31/07/20,00:00:00,193.0600000,194.9300000,190.7900000,194.9300000,125167
03/08/20,00:00:00,197.8000000,204.7800000,196.6800000,203.1800000,310972
04/08/20,00:00:00,202.8700000,203.2300000,199.1000000,201.3700000,122123
05/08/20,00:00:00,202.3400000,203.8700000,201.6200000,202.6500000,86148
06/08/20,00:00:00,202.9800000,209.9500000,202.4000000,207.8200000,251803
07/08/20,00:00:00,206.2300000,206.7400000,198.7000000,200.9900000,223753
